0 exploration 100 model selected_goal competence
1 exploration 100 model selected_goal competence
2 exploration_path 11 None [0.00261146 0.41659215 0.60347626 1.        ] None
3 exploration_path 11 None [0.41660301 0.00449139 0.58641422 1.        ] 0.2
4 exploration_path 9 None [0.00261146 0.41659215 0.60347626 1.        ] 0.2
5 exploration_path 28 None [0.41660301 0.00449139 0.58641422 1.        ] 0.3
6 exploration_path 16 None [0.00261146 0.41659215 0.60347626 1.        ] 0.3
7 exploration_path 8 None [0.00261146 0.41659215 0.60347626 1.        ] 0.4
8 exploration_path 8 None [0.41660301 0.00449139 0.58641422 1.        ] 0.5
9 exploration_path 9 None [0.41660301 0.00449139 0.58641422 1.        ] 0.4
10 exploration_path 15 None [0.00261146 0.41659215 0.60347626 1.        ] 0.5
11 exploration_path 8 None [0.41660301 0.00449139 0.58641422 1.        ] 0.6
12 exploration_path 10 None [0.41660301 0.00449139 0.58641422 1.        ] 0.6
13 exploration_path 7 None [0.00261146 0.41659215 0.60347626 1.        ] 0.7
14 exploration_path 9 None [0.00261146 0.41659215 0.60347626 1.        ] 0.7
15 exploration_path 9 None [0.41660301 0.00449139 0.58641422 1.        ] 0.8
16 improvement 9 0 [0.41660301 0.00449139 0.58641422 1.        ] 0.8
17 improvement 100 0 [0.00261146 0.41659215 0.60347626 1.        ] 0.8
18 exploration_path 83 0 [0.00261146 0.41659215 0.60347626 1.        ] 0.8
19 improvement 13 0 [0.41660301 0.00449139 0.58641422 1.        ] 0.9
20 improvement 8 0 [0.41660301 0.00449139 0.58641422 1.        ] 0.9
21 improvement 14 0 [0.41660301 0.00449139 0.58641422 1.        ] 0.9
22 improvement 100 0 [0.00261146 0.41659215 0.60347626 1.        ] 0.9
23 improvement 10 0 [0.41660301 0.00449139 0.58641422 1.        ] 0.7000000000000001
24 improvement 14 0 [0.41660301 0.00449139 0.58641422 1.        ] 0.7000000000000001
25 exploration_path 21 0 [0.00261146 0.41659215 0.60347626 1.        ] 0.7000000000000001
26 exploration_path 91 0 [0.00261146 0.41659215 0.60347626 1.        ] 0.6000000000000001
27 exploration_path 56 0 [0.00261146 0.41659215 0.60347626 1.        ] 0.5
28 exploration_path 21 0 [0.00261146 0.41659215 0.60347626 1.        ] 0.4
29 exploration_path 17 0 [0.00261146 0.41659215 0.60347626 1.        ] 0.30000000000000004
30 exploration_path 12 0 [0.00261146 0.41659215 0.60347626 1.        ] 0.20000000000000007
31 improvement 9 3 [0.00261146 0.41659215 0.60347626 1.        ] 0.10000000000000009
32 improvement 7 3 [0.00261146 0.41659215 0.60347626 1.        ] 0.10000000000000009
33 improvement 7 3 [0.00261146 0.41659215 0.60347626 1.        ] 0.10000000000000009
34 improvement 11 3 [0.00261146 0.41659215 0.60347626 1.        ] 0.10000000000000009
35 improvement 10 3 [0.00261146 0.41659215 0.60347626 1.        ] 0.10000000000000009
36 improvement 6 3 [0.00261146 0.41659215 0.60347626 1.        ] 0.10000000000000009
37 improvement 8 0 [0.41660301 0.00449139 0.58641422 1.        ] 0.10000000000000009
38 improvement 8 3 [0.00261146 0.41659215 0.60347626 1.        ] 0.10000000000000009
39 improvement 15 3 [0.00261146 0.41659215 0.60347626 1.        ] 0.10000000000000009
40 improvement 100 3 [0.00261146 0.41659215 0.60347626 1.        ] 0.10000000000000009
41 exploration_path 8 3 [0.00261146 0.41659215 0.60347626 1.        ] -0.10000000000000009
42 improvement 8 0 [0.41660301 0.00449139 0.58641422 1.        ] 0.0
43 improvement 9 0 [0.41660301 0.00449139 0.58641422 1.        ] 0.0
44 improvement 100 3 [0.00261146 0.41659215 0.60347626 1.        ] 0.0
45 exploration_path 7 3 [0.00261146 0.41659215 0.60347626 1.        ] -0.20000000000000007
46 improvement 9 3 [0.00261146 0.41659215 0.60347626 1.        ] 0.0
