0 exploration 100 model selected_goal competence
1 exploration 100 model selected_goal competence
2 exploration_path 14 None [0.00439331 0.41827281 0.60571439 1.        ] None
3 exploration_path 8 None [0.41441541 0.00429898 0.58409311 1.        ] 0.2
4 exploration_path 13 None [0.00439331 0.41827281 0.60571439 1.        ] 0.2
5 exploration_path 9 None [0.41441541 0.00429898 0.58409311 1.        ] 0.3
6 exploration_path 8 None [0.00439331 0.41827281 0.60571439 1.        ] 0.3
7 exploration_path 80 None [0.41441541 0.00429898 0.58409311 1.        ] 0.4
8 exploration_path 9 None [0.00439331 0.41827281 0.60571439 1.        ] 0.4
9 exploration_path 14 None [0.41441541 0.00429898 0.58409311 1.        ] 0.5
10 exploration_path 7 None [0.00439331 0.41827281 0.60571439 1.        ] 0.5
11 exploration_path 9 None [0.41441541 0.00429898 0.58409311 1.        ] 0.6
12 exploration_path 11 None [0.41441541 0.00429898 0.58409311 1.        ] 0.6
13 exploration_path 10 None [0.00439331 0.41827281 0.60571439 1.        ] 0.7
14 exploration_path 11 None [0.00439331 0.41827281 0.60571439 1.        ] 0.7
15 exploration_path 9 None [0.41441541 0.00429898 0.58409311 1.        ] 0.8
16 improvement 11 0 [0.00439331 0.41827281 0.60571439 1.        ] 0.8
17 improvement 10 2 [0.41441541 0.00429898 0.58409311 1.        ] 0.8
18 improvement 24 2 [0.41441541 0.00429898 0.58409311 1.        ] 0.8
19 improvement 14 0 [0.00439331 0.41827281 0.60571439 1.        ] 0.8
20 improvement 13 0 [0.00439331 0.41827281 0.60571439 1.        ] 0.8
21 improvement 100 2 [0.41441541 0.00429898 0.58409311 1.        ] 0.8
22 improvement 15 0 [0.00439331 0.41827281 0.60571439 1.        ] 0.8
23 exploration_path 12 2 [0.41441541 0.00429898 0.58409311 1.        ] 0.8
24 improvement 22 2 [0.41441541 0.00429898 0.58409311 1.        ] 0.9
25 improvement 9 0 [0.00439331 0.41827281 0.60571439 1.        ] 0.9
26 improvement 10 0 [0.00439331 0.41827281 0.60571439 1.        ] 0.9
27 improvement 9 0 [0.00439331 0.41827281 0.60571439 1.        ] 0.9
28 improvement 11 0 [0.00439331 0.41827281 0.60571439 1.        ] 0.9
29 improvement 12 0 [0.00439331 0.41827281 0.60571439 1.        ] 0.9
30 improvement 10 0 [0.00439331 0.41827281 0.60571439 1.        ] 0.9
31 improvement 14 0 [0.00439331 0.41827281 0.60571439 1.        ] 0.9
32 improvement 10 0 [0.00439331 0.41827281 0.60571439 1.        ] 0.9
33 improvement 9 0 [0.00439331 0.41827281 0.60571439 1.        ] 0.9
34 improvement 11 0 [0.00439331 0.41827281 0.60571439 1.        ] 0.9
35 improvement 10 0 [0.00439331 0.41827281 0.60571439 1.        ] 0.9
36 improvement 11 0 [0.00439331 0.41827281 0.60571439 1.        ] 0.9
37 improvement 10 0 [0.00439331 0.41827281 0.60571439 1.        ] 0.9
38 improvement 100 2 [0.41441541 0.00429898 0.58409311 1.        ] 0.9
39 exploration_path 11 2 [0.41441541 0.00429898 0.58409311 1.        ] 0.7000000000000001
40 exploration_path 9 2 [0.41441541 0.00429898 0.58409311 1.        ] 0.6000000000000001
41 exploration_path 8 2 [0.41441541 0.00429898 0.58409311 1.        ] 0.5
42 exploration_path 12 2 [0.41441541 0.00429898 0.58409311 1.        ] 0.4
43 exploration_path 9 2 [0.41441541 0.00429898 0.58409311 1.        ] 0.30000000000000004
44 exploration_path 8 2 [0.41441541 0.00429898 0.58409311 1.        ] 0.20000000000000007
45 improvement 27 2 [0.41441541 0.00429898 0.58409311 1.        ] 0.10000000000000009
46 improvement 11 2 [0.41441541 0.00429898 0.58409311 1.        ] 0.10000000000000009
47 improvement 31 2 [0.41441541 0.00429898 0.58409311 1.        ] 0.10000000000000009
48 improvement 14 0 [0.00439331 0.41827281 0.60571439 1.        ] 0.10000000000000009
49 improvement 12 2 [0.41441541 0.00429898 0.58409311 1.        ] 0.10000000000000009
50 improvement 100 2 [0.41441541 0.00429898 0.58409311 1.        ] 0.10000000000000009
51 exploration_path 100 2 [0.41441541 0.00429898 0.58409311 1.        ] -0.10000000000000009
52 exploration_path 100 2 [0.41441541 0.00429898 0.58409311 1.        ] -0.10000000000000009
53 improvement 15 0 [0.00439331 0.41827281 0.60571439 1.        ] -0.30000000000000004
54 exploration_path 100 2 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
55 exploration_path 76 2 [0.41441541 0.00429898 0.58409311 1.        ] -0.20000000000000007
56 improvement 100 2 [0.41441541 0.00429898 0.58409311 1.        ] -0.20000000000000007
57 exploration_path 36 2 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
58 improvement 15 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
59 improvement 11 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
60 improvement 8 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
61 improvement 8 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
62 improvement 9 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
63 improvement 10 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
64 improvement 14 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
65 improvement 9 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
66 improvement 13 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
67 improvement 12 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
68 improvement 16 0 [0.00439331 0.41827281 0.60571439 1.        ] -0.30000000000000004
69 improvement 8 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
70 improvement 15 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
71 improvement 9 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
72 improvement 9 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
73 improvement 15 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
74 improvement 15 0 [0.00439331 0.41827281 0.60571439 1.        ] -0.30000000000000004
75 improvement 15 0 [0.41441541 0.00429898 0.58409311 1.        ] -0.30000000000000004
76 improvement 14 0 [0.00439331 0.41827281 0.60571439 1.        ] -0.30000000000000004
